"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"16368";"Sers";"888";"221";"180";"69";"T02_20";6;"062 - Angoulême";"1.27"
"16369";"Sigogne";"982";"211";"188";"98";"T02_20";6;"152 - Cognac";"0.07"
"16370";"Sireuil";"1160";"254";"242";"92";"T02_20";6;"062 - Angoulême";"-0.11"
"16372";"Souffrignac";"127";"23";"39";"11";"T00_30";7;"N/A - hors champ";"-3.16"
"16373";"Souvigné";"196";"25";"57";"37";"T01_20";6;"386 - Ruffec";"-2.27"
"16374";"Soyaux";"9761";"2587";"1651";"1142";"T02_10";2;"062 - Angoulême";"0.69"
"16375";"Suaux";"386";"88";"84";"46";"T00_30";6;"N/A - hors champ";"-1.4"
"16377";"La Tâche";"116";"26";"24";"20";"T00_30";6;"N/A - hors champ";"2.33"
"16378";"Taizé-Aizie";"573";"124";"134";"70";"T01_20";6;"386 - Ruffec";"-0.43"
"16379";"Taponnat-Fleurignac";"1486";"315";"330";"160";"T00_30";6;"N/A - hors champ";"-0.83"
"16380";"Le Tâtre";"410";"104";"71";"37";"T01_20";6;"373 - Barbezieux-Saint-Hilaire";"0.79"
"16381";"Theil-Rabier";"164";"41";"46";"13";"T00_30";6;"N/A - hors champ";"-0.3"
"16382";"Torsac";"721";"146";"182";"45";"T02_20";6;"062 - Angoulême";"-1.39"
"16383";"Tourriers";"758";"206";"115";"41";"T02_20";6;"062 - Angoulême";"-0.09"
"16384";"Touvérac";"581";"99";"125";"104";"T01_20";6;"373 - Barbezieux-Saint-Hilaire";"-2.78"
"16385";"Touvre";"1165";"261";"259";"102";"T02_20";6;"062 - Angoulême";"-0.82"
"16387";"Triac-Lautrait";"466";"117";"79";"34";"T00_30";6;"N/A - hors champ";"0.4"
"16388";"Trois-Palis";"940";"237";"179";"105";"T02_20";6;"062 - Angoulême";"0.73"
"16389";"Turgon";"87";"15";"28";"9";"T00_30";7;"N/A - hors champ";"0.19"
"16390";"Tusson";"222";"23";"74";"43";"T00_30";6;"N/A - hors champ";"-0.37"
"16392";"Valence";"189";"22";"47";"35";"T00_30";7;"N/A - hors champ";"-3.08"
"16393";"Vars";"2168";"590";"345";"182";"T02_20";6;"062 - Angoulême";"1.18"
"16394";"Vaux-Lavalette";"83";"12";"30";"13";"T00_30";7;"N/A - hors champ";"-2.73"
"16395";"Vaux-Rouillac";"297";"51";"73";"34";"T00_30";6;"N/A - hors champ";"-0.17"
"16396";"Ventouse";"124";"25";"31";"8";"T00_30";7;"N/A - hors champ";"-0.66"
"16397";"Verdille";"374";"75";"92";"48";"T00_30";6;"N/A - hors champ";"2.06"
"16398";"Verneuil";"99";"21";"24";"11";"T00_30";7;"N/A - hors champ";"0.34"
"16399";"Verrières";"346";"63";"61";"39";"T02_20";7;"152 - Cognac";"0"
"16400";"Verteuil-sur-Charente";"620";"102";"174";"107";"T01_20";6;"386 - Ruffec";"0.16"
"16401";"Vervant";"146";"41";"24";"17";"T02_20";6;"062 - Angoulême";"-0.11"
"16402";"Vibrac";"283";"57";"70";"30";"T00_30";6;"N/A - hors champ";"-1.02"
"16403";"Le Vieux-Cérier";"127";"13";"39";"25";"T00_30";7;"N/A - hors champ";"-0.77"
"16404";"Vieux-Ruffec";"109";"15";"31";"15";"T00_30";7;"N/A - hors champ";"-1.03"
"16405";"Vignolles";"165";"37";"37";"16";"T01_20";7;"373 - Barbezieux-Saint-Hilaire";"-2.06"
